Issue Number,Title,State,Labels,Created At,User,Body,URL
3109,Is it ok to add `awesome awesome` list?,closed,[],2024-07-11T16:07:23Z,zhimin-z,Such as https://github.com/zhimin-z/awesome-awesome-machine-learning,https://github.com/sindresorhus/awesome/issues/3109
3062,Suggestion: I have some useful windows app recommendations.,closed,[],2024-05-27T12:58:04Z,tonghejiao,https://github.com/tonghejiao/awesome-windows,https://github.com/sindresorhus/awesome/issues/3062
3050,AI Tools,closed,[],2024-05-15T06:25:14Z,HarrySolsem,Hi Sindre. I suggest that a list of AI-tools be added.,https://github.com/sindresorhus/awesome/issues/3050
3007,Add Electronic-Interchange-Github-Resources list,closed,[],2024-03-27T18:36:28Z,michaelachrisco,"I have a list of x12 EDI here that has been supported for a couple of years. It's been helping people in a fairly niche topic in a very small but important part of data interchange. 

https://github.com/michaelachrisco/Electronic-Interchange-Github-Resources

It has been heavily influenced by lists like this one. I (or someone) will need to do some work in order for this to be added to this library via the https://github.com/sindresorhus/awesome/blob/main/awesome.md 

Getting more 👀 on the list may help keep it up to date as well. ",https://github.com/sindresorhus/awesome/issues/3007
2994,Any idea to feed all this repo content into LLM for quick search ?,closed,[],2024-03-15T16:39:51Z,q2333gh,That will be so great and convenient!,https://github.com/sindresorhus/awesome/issues/2994
2967,Guidelines on subpages,closed,[],2024-02-12T21:36:24Z,lskatz,Are there guidelines if we want to make a sub page? I have a category that might get extremely large and so I want it to be on its own page.,https://github.com/sindresorhus/awesome/issues/2967
2881,Atom is no more - add Pulsar as an alternative?,closed,[],2023-11-28T17:01:11Z,mauricioszabo,"Hi - I saw your list still includes the Atom editor - as it was sunset by Microsoft, maybe include Pulsar, our fork, on the list? https://pulsar-edit.dev/",https://github.com/sindresorhus/awesome/issues/2881
2877,Add Large language models frontends ?,closed,[],2023-11-25T20:19:19Z,iChristGit,"There are plenty of amazing LLM ""chatgpt"" like webuis and interfaces., they are all open source and I think they deserve a small section.

Some examples:

https://github.com/huggingface/chat-ui
https://github.com/oobabooga/text-generation-webui
https://github.com/ParisNeo/lollms-webui/
https://github.com/h2oai/h2ogpt
https://github.com/SillyTavern/SillyTavern
https://github.com/NimbleBoxAI/ChainFury
https://github.com/nomic-ai/gpt4all
https://github.com/imartinez/privateGPT

What do you think?
",https://github.com/sindresorhus/awesome/issues/2877
2724,awesome-mastodon orphaned ,closed,[],2023-07-24T20:52:51Z,IamFlowZ,"Hello!

I've tried reaching out a number of ways to the owner of the awesome-mastodon repo, and haven't gotten a response. It has almost 900 stars and people still trying to actively contribute. Was wondering if there's any way we could redirect the link to one of the forks? Or through some other means make it available seeing as how mastodon has gained a lot of popularity in recent history.",https://github.com/sindresorhus/awesome/issues/2724
2712,Sort lists,closed,[],2023-07-05T16:42:02Z,bobby-palmer,It seems like the lists should be alphabetically sorted to allow for easy searching.,https://github.com/sindresorhus/awesome/issues/2712
2681,[Feature]  Trigger warning Rating,closed,[],2023-06-17T05:28:02Z,CBID2,"## Introducing Myself 
Hi @sindresorhus! I'm CBID2, and I found this project via the Topics Tab on GitHub, so I'm excited to be here! :) 
##  Related Issue

Connects to #732 

## Concern
Adding more non-tech lists is a great idea. However, a possible problem that could occur is a person goes to a list (For context, let's say there's a list of Awesome Animated shows) and ends up finding content that might negatively affect their mental health(e.g., the murder scene in Invincible). 

## Solution
Add GitHub Action that automatically closes a pull request if a contributor does not add a trigger warning in their PR. 


",https://github.com/sindresorhus/awesome/issues/2681
2674,Agriculture ,closed,[],2023-06-14T08:12:30Z,KAPPI1925,"Entomology, pathology, seed science, soil science, agronomy ",https://github.com/sindresorhus/awesome/issues/2674
2673,Add about Geoinformatics,closed,[],2023-06-14T08:11:50Z,KAPPI1925,"Like Remote sensing, GIS, digital image processing ",https://github.com/sindresorhus/awesome/issues/2673
2605,ATprotocol,closed,[],2023-04-27T16:11:44Z,mikestaub,Can someone add this? https://github.com/beeman/awesome-atproto,https://github.com/sindresorhus/awesome/issues/2605
2596,Correction,closed,[],2023-04-20T09:47:07Z,Pratyushslimsady,"on:
  pull_request:
    branches: [main]
    paths:
      - 'readme.md'
jobs:
  lint:
    runs-on: ubuntu-latest
    steps:
      - name: Checkout code
        uses: actions/checkout@v2
        with:
          fetch-depth: 0
      - name: Run lint check
        run: |
          chmod +x ./.github/workflows/repo_linter.sh
          ./.github/workflows/repo_linter.sh",https://github.com/sindresorhus/awesome/issues/2596
2588,Add composable AI,closed,[],2023-04-12T08:52:29Z,Adamdad,https://github.com/Adamdad/Awesome-ComposableAI,https://github.com/sindresorhus/awesome/issues/2588
2542,add nostr,closed,[],2023-03-08T17:11:42Z,mivinci,check out https://github.com/aljazceru/awesome-nostr,https://github.com/sindresorhus/awesome/issues/2542
2522,[Suggestion] AWS  Cheatsheet,closed,[],2023-02-12T09:16:58Z,seifrajhi,"Hello,
As I am working on a daily basis with AWS I was triggered that this cloud provider is not yet having a cheat sheet. Is it in the program?
Can I contribute? (for example with a sample of the cheatsheet?).

Thank you very much, I love this project!",https://github.com/sindresorhus/awesome/issues/2522
2491,Add app ideas,closed,[],2023-01-16T07:31:34Z,dev-aniketj,https://github.com/dev-aniketj/awesome-app-ideas,https://github.com/sindresorhus/awesome/issues/2491
2490,Added Awesome Java Projects,closed,[],2023-01-15T11:42:14Z,dev-aniketj,"https://github.com/dev-aniketj/awesome-java-projects
",https://github.com/sindresorhus/awesome/issues/2490
2488,Please add programming books section,closed,[],2023-01-15T10:01:59Z,dev-aniketj,Please add this repo in the awesome list - https://github.com/dev-aniketj/Programming-Books,https://github.com/sindresorhus/awesome/issues/2488
2486,Add Technical Communication category,closed,[],2023-01-14T16:27:37Z,silopolis,"This category would group lists about technical documentation, developer experience etc.

For starters, it could host #1883 , #2424 and #2288

The following would be candidate entries:

* https://github.com/testthedocs/awesome-docs 
* https://github.com/writing-resources/awesome-scientific-writing
* https://github.com/yoloseem/awesome-sphinxdoc
",https://github.com/sindresorhus/awesome/issues/2486
2483,Awesome Cheminformatics Teaching Material,closed,[],2023-01-11T15:03:05Z,Sulstice,"Hello,

I would like to submit this list of material I use to teach cheminformatics as an awesome list and whether this is appropriate? 

https://github.com/Sulstice/Cheminformatics-Teaching-Material

Thank you!
-Sulstice",https://github.com/sindresorhus/awesome/issues/2483
2429,Chinese version,closed,[],2022-11-13T14:18:25Z,loda13,need Chinese version please,https://github.com/sindresorhus/awesome/issues/2429
2419,Add UntrustableRus/awesome-school-exploits,closed,[],2022-10-25T23:36:42Z,3kh0,Can you please add https://github.com/UntrustableRus/awesome-school-exploits it is very good,https://github.com/sindresorhus/awesome/issues/2419
2379,Explain One Thing,closed,[],2022-09-15T18:11:10Z,fulldecent,"Please explain in the README why One Thing is featured so prominently.

Is this something cool you like? (if so, please say so)

Are they paying you money? (if so, please say so, and that would be weird because that app does not make money... is it a virus or something where they make money another way?)",https://github.com/sindresorhus/awesome/issues/2379
2344,List slack apps for developers,closed,[],2022-08-03T06:46:24Z,cosydney,"I created a list of 50 slack apps for developers, happy to rewrite them in the same awesome format as you guys have if you think this would make sense? 

https://github.com/axolo-co/slack-apps-for-developers

Let me know and I can easily create a PR, 

Cheers

",https://github.com/sindresorhus/awesome/issues/2344
2333,"Add ""Awesome How to do Open Source"" list",closed,[],2022-07-20T21:30:42Z,dirkmueller,"@cornellius is maintaining https://github.com/cornelius/awesome-open-source which is an awesome listing on how to *do* open source. it is missing in the current list and as far as I can see fits the contribution requirements. 

",https://github.com/sindresorhus/awesome/issues/2333
2319,Sort content within topics alphabetically,closed,[],2022-07-09T09:23:54Z,CandidDeer,"I think it would help users to find what they need more easily if we sorted the content of each topic area alphabetically.
E.g.
**Platforms**: 
- .NET
- Actions on Google
- Adafruit IO
etc.

Instead of the current
**Platforms**: 
- Node.js
- Frontend Development
- iOS
etc.

If you agree, please assign this to me and I'll be happy to resolve the issue.",https://github.com/sindresorhus/awesome/issues/2319
2295,Add Official Discord Server Link In Community.,closed,[],2022-06-23T15:47:29Z,VaarunSinha,"Recently Django has launched its official discord server, it should be included under the community list.
 
Link: https://discord.com/invite/xcRH6mN4fa

It is also in the official Django community page.

<img width=""1376"" alt=""Screenshot 2022-06-23 at 9 16 13 PM"" src=""https://user-images.githubusercontent.com/85062344/175340691-7e283787-64f9-4b8b-9017-5bd8b0a4198e.png"">

",https://github.com/sindresorhus/awesome/issues/2295
2260,Error in editors page in Visual Studio Code voice,closed,[],2022-05-12T13:45:04Z,ghost,"In [awesome-editors page](https://github.com/sindresorhus/awesome#editors) there is an error: **Visual Studio Code** is marked as a **_Cross-platform open-source text editor_** while it is only **built** on open-source, [as anyone can read here](https://code.visualstudio.com/License/). It's source code is available [at this link](https://github.com/Microsoft/vscode).
In fact Vistual Studio Code and the code which on is based are distributed under two different licenses.
I suggest you to edit the description of Visual Studio Code from current one to _One of the most used text editor, hackable, flexible and based on open source code distributed by Microsoft_ or something similar, so it won't be misleading as it is right now.

By the way thanks for this awesome project.",https://github.com/sindresorhus/awesome/issues/2260
2256,Copyright issue,closed,[],2022-05-07T16:26:23Z,meysamhadeli,"Gathering some articles, and video links with author name related to programming are allowed in terms of copyright? 
Or we need to get consent for all the links from their authors?",https://github.com/sindresorhus/awesome/issues/2256
2250,"Badge style ""for-the-badge"" allowed?",closed,[],2022-04-27T11:33:13Z,elliotwutingfeng,"I want to place a ""mentioned in awesome"" badge on my awesome project's readme, in the style of ""for-the-badge"", but there is currently no such option available (the existing flat version is smaller than ""for-the-badge"" badges and would look out of place in this repo https://github.com/elliotwutingfeng/go-fasttld).

Is it against the rules to use my own ""for-the-badge"" badge like this?

![Mentioned In Awesome](https://img.shields.io/static/v1?logo=awesomelists&label=&labelColor=CCA6C4&logoColor=261120&message=Mentioned%20in%20awesome&color=494368&style=for-the-badge)

(generated from shields.io)",https://github.com/sindresorhus/awesome/issues/2250
2242,Incubate,open,[],2022-04-20T10:23:27Z,sindresorhus,"If you just starting working on a list, you can post it here to indicate that you are working on it (prevents duplicates) and to gather feedback.

**One comment per list draft. Open an issue on the list to provide feedback. Not here.**",https://github.com/sindresorhus/awesome/issues/2242
2239,Draft process and list placement,closed,[],2022-04-19T00:52:28Z,cnpryer,"Hi! Love this. A couple questions:

1. Is there a draft process for baking lists? (Prevent duplicates or redundant effort)
2. For lists that focus on something like a library that spans multiple languages and domains, where would a list like this fit?


### Drafting

>Don't open a Draft / WIP pull request while you work on the guidelines. A pull request should be 100% ready and should adhere to all the guidelines when you open it.

The goal is to add an `awesome` list to the `awesome` tree. If you want to centralize the community's effort, wouldn't it help to submit a draft PR here to provide that visibility (almost like self-assign)?

### List placement (category)
I'm baking [awesome-polars](https://github.com/cnpryer/awesome-polars) that is very early stage. Since I have a lot of time to get this all figured out (and do [a couple reviews](https://github.com/sindresorhus/awesome/blob/main/pull_request_template.md#requirements-for-your-pull-request)), I want to make sure I know where to aim for and how placement works.

If it were solely a Python ecosystem topic awesome-python would probably make sense (correct me if I'm wrong), but it's a Rust library with supported bindings for a couple languages. Visibility within the Python ecosystem is just as important as it is in the Rust ecosystem. Since it's a DataFrame library it could also be considered part of several domains/non-language categories.

Any advice here would be appreciated! 😄 ",https://github.com/sindresorhus/awesome/issues/2239
2233,Contributor Issue,closed,[],2022-04-06T18:10:59Z,btxo24,"Even though I had made 31 commis in an organisation's repository, but i still doesn't count as one of the contributor...Why??

Ps: I didn't set my email as private and I also use my email to pull and push on the repository.",https://github.com/sindresorhus/awesome/issues/2233
2198,C++,closed,[],2022-03-03T09:15:14Z,Francoraise1,,https://github.com/sindresorhus/awesome/issues/2198
2197,https://github.com/sindresorhus/awesome/blob/main/.github/funding.yml,closed,[],2022-03-03T01:46:44Z,shahhraam,,https://github.com/sindresorhus/awesome/issues/2197
2196,I need atm pullout app,closed,[],2022-03-02T21:57:30Z,Mohbad123,,https://github.com/sindresorhus/awesome/issues/2196
2195,"Love this

Great list",closed,[],2022-02-27T13:50:25Z,LadyAce777,,https://github.com/sindresorhus/awesome/issues/2195
2187,dead list awesome-rubymotion,closed,[],2022-02-17T03:40:11Z,z00rat,"the list **awesome-rubymotion** by @motion-open-source is dead.
https://github.com/sindresorhus/awesome/blob/9170c40dc9ae84fb4a6bd9708085de6dabea3a32/readme.md?plain=1#L217
```
❯ curl -I https://github.com/motion-open-source/awesome-rubymotion
HTTP/2 404 
server: GitHub.com
date: Thu, 17 Feb 2022 03:34:35 GMT
content-type: text/html; charset=utf-8
```

looks like the user https://github.com/motion-open-source is dead in the first place.
but found some mirror (ig):
- https://project-awesome.org/motion-open-source/awesome-rubymotion
- https://github.com/rvollebregt/awesome-rubymotion (0 star | last commit on ""1 Dec 2015"") 
- https://awesomerepos.io/awesome/motion-open-source/awesome-rubymotion (dead server)


can i make a pull request removing the list ??
or something else should be done ??",https://github.com/sindresorhus/awesome/issues/2187
2179,about web-padawan's awesome-lit (previously awesome-lit-html),closed,[],2022-02-14T04:58:06Z,z00rat,"hello everyone,
@web-padawan changed the repo name from **awesome-lit-html** to **awesome-lit**.

When this repo was first added it was named as **lit-html** with description **""HTML templating library for JavaScript.""**
on https://github.com/sindresorhus/awesome/pull/1357 / https://github.com/sindresorhus/awesome/commit/137dee5ea2b1c1e0a439af2b5f392ea00fbbcc06

but, now this link redirects to https://github.com/web-padawan/awesome-lit 
```shell
❯ curl -I https://github.com/web-padawan/awesome-lit-html
HTTP/2 301 
server: GitHub.com
...
location: https://github.com/web-padawan/awesome-lit
...
```
and its about reads **""A curated list of awesome Lit resources.""**

so, now what should be done ??
can i just change the _like_ and the _description_ and make a pull request ??
or should it be moved to some other category other than **Front-End Development** ??",https://github.com/sindresorhus/awesome/issues/2179
2176,Add zig programming language?,closed,[],2022-02-11T14:42:20Z,subnut,"https://ziglang.org  
https://github.com/ziglang/zig  


Probably a modern alternative to C.  
I haven't used it personally.",https://github.com/sindresorhus/awesome/issues/2176
2173,Create a website for this project,closed,[],2022-02-07T17:38:46Z,iqbalpb,It will be helpful if you showcase this projects in a website,https://github.com/sindresorhus/awesome/issues/2173
2149,Read the PR guidelines but need further clarity before submitting.,closed,[],2022-01-11T18:26:59Z,zriyansh,"Hey @sindresorhus, I read the guidelines that you made with much effort but looks like my awesome list is not compatible here,  I made it because I liked it without knowing about your 'awesome' thing. 

here's the link - https://github.com/zriyansh/awesome-os/

Everything can be followed according to the guidelines but I cannot format it in --
`[Name](link) - description`

as the list requires adding more details, so I used tables instead, have a look.

I have not yet run awesome-lint on the list.

If you think this list can find a place here, let me know so I can reformat it according to the need. 

Thanks for your time. 
",https://github.com/sindresorhus/awesome/issues/2149
2140,What is this.,closed,[],2022-01-04T09:18:48Z,sastofficial,I dont understand the concept. All it says is lists,https://github.com/sindresorhus/awesome/issues/2140
2130,New list: Awesome Conversational AI,closed,[],2021-12-24T21:10:51Z,jyguyomarch,"I have started a new awesome list: https://github.com/jyguyomarch/awesome-conversational-ai

Found some very good lists on ML and NLP, but none on Conversational AI or related. Thought I would post here to get early feedback, or just in case someone knows of an existing list. If you want to contribute as usual feel free to PR.

I'll close this issue in a bit less than 30 days once the list is mature enough for a PR. And if it is not the right way to use issues in this repo, feel free to close it of course.",https://github.com/sindresorhus/awesome/issues/2130
2114,Can I use the logo in my blog? What are the rules?,closed,[],2021-12-06T01:46:48Z,alexandrediaries,"Hi!

I'm new to Github.
I saw this logo a few minutes ago:

https://github.com/sindresorhus/awesome/blob/main/media/logo.svg

Can I copy and paste it to my ""footer.php""

The logo is so... awesome!",https://github.com/sindresorhus/awesome/issues/2114
2108,Add the Django web framework to the Back-end Development tools,closed,[],2021-11-24T12:51:04Z,lnxpy,"Please add [Django](https://www.djangoproject.com/) to the [back-end-development section](https://github.com/sindresorhus/awesome#back-end-development)!
Thanks.",https://github.com/sindresorhus/awesome/issues/2108
2097,Pull request template: badge placement rule contradicts the linter,open,[],2021-11-15T15:17:17Z,ZoomRmc,"Per [pull_request_template.md](https://github.com/sindresorhus/awesome/blob/main/pull_request_template.md):
>  Awesome badge... Should be placed **on the right side** of the readme heading.

However, if the header includes the badge, the linter fails with the following error:
`✖  1:1  Missing Awesome badge after the main heading  remark-lint:awesome-badge`

Failing example markdown source for the header:
```markdown
# <a href=""https://nim-lang.org""><img src=""https://raw.githubusercontent.com/indiscipline/awesome-nim/logo/asset/awesome-nim-logo.svg"" alt=""Awesome-nim-logo"" width=""600""/></a><a href=""https://awesome.re""><img align=""right"" src=""https://awesome.re/badge.svg""></a>
```

Also, in #1997 @sindresorhus mentions ""Don't have both the image header and the text header.""
This is not included in the guidelines. The wording of the point `The heading title of your list should be in title case` implies there has to be a text header, which is a contradiction.",https://github.com/sindresorhus/awesome/issues/2097
2089,Add yarn ,closed,[],2021-10-31T18:28:27Z,jvolima,,https://github.com/sindresorhus/awesome/issues/2089
2073,I made a web site with thanks to you,closed,[],2021-10-13T02:35:19Z,andriksantos,"Welcome to AMAZING LIST ™
This is a compilation of programming resources to boost your career in the world of software development. 💡 Amazing lists on all kinds of cool topics, awesome framework, libraries, software and resources for your off-limits project!

For that reason, this repository was born. Whose main objective is to collect as many programming resources as possible that exist on the internet, so that they are available to anyone at all times. The repository is divided by programming languages, in each language you can find resources for that language, frameworks, libraries and much more.

If you are interested in contributing to this repository, you can do so, but first read the Contribution Guidelines

Without you none of this would be possible! Mentioned in Awesome

https://andriksantos.github.io/amazinglist/",https://github.com/sindresorhus/awesome/issues/2073
2068,Add a social banner for project,closed,[],2021-10-08T16:17:59Z,ksenginew,"I had created a article of ""Top 10 trending github repos of the week💜.""

Here https://dev.to/ksengine/top-10-trending-github-repos-of-the-week-k7

I can't see your social banner there.
Please add a social banner to this project

According to github docs
> Customizing your repository's social media preview
You can customize the image displayed on social media platforms when someone links to your repository.
>
> Until you add an image, repository links expand to show basic information about the repository and the owner's avatar. Adding an image to your repository can help identify your project across various social platforms.

See https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/customizing-your-repositorys-social-media-preview

Thanks 😊
",https://github.com/sindresorhus/awesome/issues/2068
2049,Request: Submodule all linked repos,closed,[],2021-08-25T18:08:42Z,Jwink3101,"As the title says, I can see some value in making a submodule of each of these. Maybe with an auto update every 24 hours? Could be very useful for archival.",https://github.com/sindresorhus/awesome/issues/2049
2046,setup redirects for awesome lists using awesome.re,closed,[],2021-08-19T16:34:19Z,binyamin,"It would be super handy if, for example, https://awesome.re/go would redirect to https://github.com/avelino/awesome-go. Since GitHub Pages doesn't appear to support setting redirects, the awesome.re site would likely move somewhere like vercel or netlify.",https://github.com/sindresorhus/awesome/issues/2046
2041,Add awesome-tmux,closed,[],2021-07-12T16:27:03Z,jjspace,"I was recently using [awesome-tmux](https://github.com/rothgar/awesome-tmux) to help me set up tmux and I realized it wasn't on this list. I think it could fit under Platforms or Dev Environment. I don't know all the requirements to figure out if it truly is an ""awesome"" list so I didn't want to open the PR myself.",https://github.com/sindresorhus/awesome/issues/2041
2027,Add Awesome Fetch,closed,[],2021-05-31T09:38:05Z,beucismis,"Hi, this awesome list holds command-line fetch tools. Repo: https://github.com/beucismis/awesome-fetch",https://github.com/sindresorhus/awesome/issues/2027
2015,Love this library ,closed,[],2021-05-17T06:41:13Z,baobaoack000,,https://github.com/sindresorhus/awesome/issues/2015
2008,Awesome Readme No Longer Maintained,closed,[],2021-05-07T17:45:43Z,rayhanadev,"It seems that it's been over a year since anyone on the [awesome-readme](https://github.com/matiassingers/awesome-readme) team was actively monitoring the repository. There are quite a few stale pulls and issues that need to be addressed. I see quite a lot of potential for awesome-readme, but sadly none of it can be achieved since the team is no longer active :C.

In addition if you are willing, I would like to volunteer to manage a new awesome-readme fork/repo. Is this something that is doable?

Hope you get back to me,
~ Ray",https://github.com/sindresorhus/awesome/issues/2008
2004,This is a front for advertising revenue; please delist Awesome Chalice,closed,[],2021-05-03T18:22:58Z,ghost,"I did not charge any money for the large amount of work I put into Awesome Chalice, a community resource.

In order to have it listed here, I had to put a lot more work into it. It turns out that those guidelines are so that the list renders appropriately on project-awesome.org, where you strip out links, such as to our community Slack channel, provide no link back to the original list and display advertisements. The fatal blow is that because you have higher page rank, you prevent the original lists from ranking well in Google, having your own website show up instead. This is a very predatory practice, and it's being done fully intentionally and with the full knowledge of @sindresorhus, who has employed this strategy intentionally.

https://project-awesome.org/chalice-dev/awesome-chalice

",https://github.com/sindresorhus/awesome/issues/2004
1986,Urban Planning Resources,closed,[],2021-04-21T22:39:18Z,d-wasserman,"Hi Awesome List Providers, 

I had a question - we have a repository that I think aligns with the awesome lists intent, but we don't want to rename our repo to much beyond markdown edits. What suggestions would you provide to integrate this into the the ""awesome"" framework?
[planning-technology-resources](https://github.com/APA-Technology-Division/planning-technology-resources)
",https://github.com/sindresorhus/awesome/issues/1986
1977,Awesome Raspberry Pi software,closed,[],2021-04-03T16:21:17Z,hmsjy2017,"I just created a repo about awesome software for Raspberry Pi. It is under improvement.
https://github.com/hmsjy2017/awesome-raspberry-pi-software",https://github.com/sindresorhus/awesome/issues/1977
1976,improve search,closed,[],2021-04-02T10:18:13Z,VladimirAlexiev,"Frankly I don't understand the search at https://awesomelists.top
- I search for ""Kafka"" and the first hit is https://awesomelists.top/#/repos/adafruit/awesome-adafruitio.
But it doesn't even contain that word!
- It should return https://awesomelists.top/#repos/onurakpolat/awesome-bigdata where Kafka appears 19 times, 
or https://awesomelists.top/#repos/manuzhang/awesome-streaming where Kafka appears 8 times.

Cheers!",https://github.com/sindresorhus/awesome/issues/1976
1975,section anchors,closed,[],2021-04-02T09:23:39Z,VladimirAlexiev,"@sindresorhus 
- When I'm looking at a list, eg https://awesomelists.top/#repos/onurakpolat/awesome-bigdata
- And I click on a heading (section), eg Data Ingestion
- I want a URL with anchor `data-ingestion` to be in the address bar
- So I can share that with a co-worker directly, eg https://awesomelists.top/#repos/onurakpolat/awesome-bigdata--data-ingestion

Notes:
- Inspect of the links on top shows there is something like that in the HTML eg
```
<a class=""cate-anchor"" data-anchor=""#data-ingestion"">Data Ingestion</a>
```
- Such anchors exist on github and are usable, eg https://github.com/onurakpolat/awesome-bigdata/blob/master/#data-ingestion
- They **almost** work on https://awesomelists.top:
  - Go to https://awesomelists.top/#repos/onurakpolat/awesome-bigdata
  - Now go to https://awesomelists.top/#data-ingestion, and you end up at the right place
  - But of course, if you go to https://awesomelists.top/#data-ingestion directly (in new tab or new incognito window), it doesn't go to the right place
- A URL with two hashes `https://awesomelists.top/#repos/onurakpolat/awesome-bigdata#data-ingestion` is not valid, and if I use this, your site gets confused
  - So I suggest using `--` instead of the second `#`, eg: `https://awesomelists.top/#repos/onurakpolat/awesome-bigdata--data-ingestion`",https://github.com/sindresorhus/awesome/issues/1975
1972,Manifesto - Table of contents,open,[],2021-03-26T20:46:18Z,antleblanc,"Hi!

A recent tweet mentioned following information:

> GitHub now automatically creates a table of contents for your README.md files from your headers.

Original tweets:

https://twitter.com/github/status/1376636651963842562?s=21

https://twitter.com/natfriedman/status/1375430850620256257

From the [Manifesto page](https://github.com/sindresorhus/awesome/blob/main/awesome.md#stylize-your-list-properly), it says:

> Create a table of contents (…)

Do you think that the Manifesto could be updated and stop mentioning the _Table of contents_ anymore?

Thank you!


",https://github.com/sindresorhus/awesome/issues/1972
1971,Awesomeappsec no longer maintained ,closed,[],2021-03-22T18:44:26Z,adds68,"The https://github.com/paragonie/awesome-appsec list seems to be no longer maintained.

There are 19 pull requests open and 12 issues, the last commit was 2 years ago.

I also opened an issue asking if the list was being maintained and if i could help out: https://github.com/paragonie/awesome-appsec/issues/69

There has been no response yet, nearly coming up to 1 month.

I have forked the list and would now like to start merging PRs and cleaning up the list, is this something that is possible?

",https://github.com/sindresorhus/awesome/issues/1971
1968,Add SnowFS,closed,[],2021-03-13T22:35:50Z,sebastianrath,"Hi!

Are new projects welcome? I would like to propose a new project called SnowFS, especially since the project is looking for more contributors. It is focusing on version control for binary files and is written in TypeScript. https://github.com/Snowtrack/SnowFS
Does this look interesting for this list?

Thanks!",https://github.com/sindresorhus/awesome/issues/1968
1957,awesome-shell deserves to be in the list,closed,[],2021-02-24T00:32:24Z,shinokada,I think [awesome-shell](https://github.com/alebcay/awesome-shell) deserves to be on the list.,https://github.com/sindresorhus/awesome/issues/1957
1955,Mobile section,closed,[],2021-02-22T11:46:41Z,LeonardoRosaa,"You do think about create a mobile section too? I think awesome!

Thanks for repository!!",https://github.com/sindresorhus/awesome/issues/1955
